,accountspayable,accountsreceivable,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,dividendspayable,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
"(2018, 'Q1')",10750000.0,6749000.0,,1415000.0,0.0,72560000.0,938000.0,49000.0,20000.0,,,272000.0,,3149000.0,30887000.0,9529000.0,1189000.0,,10412000.0,38000.0,2797000.0,,2944000.0,285000.0,349000.0,-55001000.0,25881000.0,62606000.0,17559000.0,49861000.0,40424000.0,17559000.0,17559000.0,45047000.0,62606000.0,3216000.0,4623000.0,0.0
2017,10872000.0,5464000.0,,630000.0,0.0,71297000.0,931000.0,49000.0,20000.0,,,272000.0,,3448000.0,31141000.0,10050000.0,1197000.0,,10082000.0,38000.0,2795000.0,,2853000.0,295000.0,214000.0,-53531000.0,23393000.0,60755000.0,17766000.0,47580000.0,38049000.0,17766000.0,17766000.0,42989000.0,60755000.0,3125000.0,4940000.0,0.0
"(2017, 'Q3')",12212000.0,10039000.0,,408000.0,0.0,67411000.0,1226000.0,21000.0,20000.0,,,9883000.0,1124000.0,7033000.0,39242000.0,10773000.0,1316000.0,,0.0,38000.0,0.0,,4225000.0,304000.0,550000.0,-36986000.0,23690000.0,76265000.0,30425000.0,50260000.0,37186000.0,30426000.0,30426000.0,45839000.0,76265000.0,15232000.0,8653000.0,1000.0
"(2017, 'Q2')",15017000.0,9906000.0,,426000.0,0.0,58293000.0,703000.0,49000.0,20000.0,,,9883000.0,1173000.0,2332000.0,39589000.0,11112000.0,1305000.0,,0.0,38000.0,0.0,,3297000.0,314000.0,431000.0,-34107000.0,31950000.0,75866000.0,24186000.0,50401000.0,47728000.0,24187000.0,24187000.0,51679000.0,75866000.0,14353000.0,3951000.0,1000.0
"(2017, 'Q1')",15333000.0,7486000.0,,1043000.0,0.0,57045000.0,722000.0,231000.0,20000.0,,,9883000.0,1450000.0,2644000.0,38132000.0,11580000.0,1294000.0,,0.0,38000.0,0.0,,3163000.0,323000.0,659000.0,-32135000.0,28342000.0,73627000.0,24910000.0,47551000.0,44455000.0,24911000.0,24911000.0,48716000.0,73627000.0,14496000.0,4261000.0,1000.0
2016,16160000.0,8050000.0,,1304000.0,0.0,55869000.0,946000.0,409000.0,20000.0,,,9883000.0,1754000.0,2971000.0,39851000.0,12219000.0,1288000.0,,6050000.0,38000.0,2155000.0,,2723000.0,333000.0,557000.0,-30980000.0,33999000.0,82800000.0,24889000.0,56221000.0,53318000.0,24890000.0,24890000.0,57910000.0,82800000.0,14360000.0,4592000.0,1000.0
"(2016, 'Q3')",14375000.0,9935000.0,,1297000.0,0.0,51651000.0,1070000.0,,34000.0,,,10518000.0,2893000.0,8493000.0,43026000.0,16238000.0,1216000.0,4178000.0,0.0,38000.0,,,2527000.0,342000.0,1328000.0,-19386000.0,34106000.0,91940000.0,32265000.0,55586000.0,49623000.0,32266000.0,32266000.0,59674000.0,91940000.0,20116000.0,10051000.0,1000.0
"(2016, 'Q2')",12805000.0,11333000.0,,759000.0,0.0,50582000.0,1245000.0,2394000.0,22000.0,,,10518000.0,3213000.0,5261000.0,40532000.0,17029000.0,1212000.0,487000.0,0.0,38000.0,,,2381000.0,352000.0,1405000.0,-17039000.0,35572000.0,90051000.0,33543000.0,56423000.0,49682000.0,33544000.0,33544000.0,56507000.0,90051000.0,16599000.0,6825000.0,1000.0
"(2016, 'Q1')",12994000.0,9811000.0,,369000.0,0.0,44189000.0,1310000.0,2356000.0,24000.0,,,10518000.0,3532000.0,3917000.0,40657000.0,15264000.0,1209000.0,398000.0,1675000.0,38000.0,,,2096000.0,361000.0,1444000.0,-16787000.0,40865000.0,88120000.0,27402000.0,56312000.0,55231000.0,27402000.0,27402000.0,60718000.0,88120000.0,16544000.0,5487000.0,0.0
2015,12046000.0,13662000.0,,529000.0,0.0,44162000.0,958000.0,2260000.0,14000.0,,,10518000.0,3852000.0,3917000.0,36923000.0,15299000.0,1206000.0,338000.0,1700000.0,38000.0,0.0,,2121000.0,371000.0,1048000.0,-15357000.0,40895000.0,88250000.0,28805000.0,56122000.0,53951000.0,28805000.0,28805000.0,59445000.0,88250000.0,16829000.0,5494000.0,0.0
"(2015, 'Q3')",13327000.0,13966000.0,4000.0,791000.0,,43676000.0,893000.0,1545000.0,0.0,,1134000.0,9324000.0,4192000.0,3785000.0,38932000.0,15967000.0,1202000.0,1484000.0,,50000.0,,,2144000.0,381000.0,823000.0,-14685000.0,39401000.0,89168000.0,28991000.0,56057000.0,54805000.0,28991000.0,28991000.0,60177000.0,89168000.0,17144000.0,5372000.0,
"(2015, 'Q2')",8132000.0,11749000.0,4000.0,1214000.0,,44787000.0,453000.0,1358000.0,0.0,,1134000.0,8719000.0,3899000.0,2768000.0,33283000.0,14494000.0,1194000.0,1038000.0,,63000.0,,,2064000.0,390000.0,761000.0,-15022000.0,34676000.0,78579000.0,29765000.0,48365000.0,44458000.0,29765000.0,29765000.0,48814000.0,78579000.0,15720000.0,4356000.0,
"(2015, 'Q1')",8827000.0,12484000.0,4000.0,2458000.0,0.0,45892000.0,,1437000.0,105000.0,190000.0,1125000.0,7397000.0,4206000.0,10598000.0,31498000.0,14693000.0,1185000.0,1089000.0,,78000.0,,,2008000.0,399000.0,543000.0,-14421000.0,23831000.0,77813000.0,31471000.0,48420000.0,34156000.0,31471000.0,31471000.0,46342000.0,77813000.0,14700000.0,12186000.0,0.0
2014,6948000.0,11916000.0,4000.0,1418000.0,0.0,42797000.0,418000.0,1421000.0,71000.0,,1066000.0,5434000.0,4513000.0,8213000.0,28651000.0,9557000.0,1177000.0,858000.0,0.0,94000.0,,,1581000.0,409000.0,831000.0,-14525000.0,19508000.0,66180000.0,28272000.0,44237000.0,28105000.0,28272000.0,28272000.0,37908000.0,66180000.0,12386000.0,9803000.0,0.0
"(2014, 'Q3')",6280000.0,8806000.0,12000.0,1568000.0,,44912000.0,,1310000.0,382000.0,174000.0,0.0,4620000.0,3854000.0,3191000.0,30686000.0,5743000.0,1189000.0,947000.0,,98000.0,,,1373000.0,418000.0,209000.0,-13855000.0,16315000.0,59116000.0,31057000.0,42579000.0,23249000.0,31057000.0,31057000.0,28059000.0,59116000.0,10794000.0,4810000.0,0.0
"(2014, 'Q2')",7780000.0,9474000.0,25000.0,1169000.0,,44901000.0,,1220000.0,1770000.0,174000.0,1064000.0,4514000.0,4144000.0,3388000.0,29268000.0,6095000.0,1170000.0,762000.0,,102000.0,,,1296000.0,428000.0,465000.0,-14235000.0,11840000.0,58407000.0,30666000.0,41596000.0,22730000.0,30666000.0,30666000.0,27741000.0,58407000.0,10716000.0,5011000.0,0.0
"(2014, 'Q1')",7560000.0,12909000.0,40000.0,687000.0,,35911000.0,,1114000.0,2112000.0,254000.0,880000.0,453000.0,4435000.0,3219000.0,26816000.0,6158000.0,1151000.0,230000.0,,106000.0,,,1330000.0,437000.0,422000.0,-14851000.0,17735000.0,54554000.0,21060000.0,41948000.0,28647000.0,21060000.0,21060000.0,33494000.0,54554000.0,6448000.0,4847000.0,0.0
2013,6855000.0,8584000.0,56000.0,561000.0,0.0,36805000.0,,1051000.0,1496000.0,251000.0,717000.0,453000.0,4726000.0,2527000.0,26222000.0,6523000.0,1132000.0,185000.0,,109000.0,,,1357000.0,447000.0,510000.0,-15192000.0,14969000.0,50172000.0,21613000.0,36928000.0,24397000.0,21613000.0,21613000.0,28559000.0,50172000.0,6721000.0,4162000.0,0.0
"(2013, 'Q3')",7222000.0,10548000.0,72000.0,771000.0,,36501000.0,,,1199000.0,,716000.0,453000.0,5017000.0,2661000.0,28135000.0,5652000.0,1113000.0,1625000.0,8000.0,113000.0,,0.0,1392000.0,456000.0,186000.0,-15892000.0,19626000.0,53787000.0,20609000.0,39648000.0,28876000.0,20609000.0,20609000.0,33178000.0,53787000.0,8487000.0,4302000.0,0.0
"(2013, 'Q2')",7412000.0,9009000.0,89000.0,955000.0,,37209000.0,,,2400000.0,,358000.0,453000.0,5308000.0,3382000.0,28247000.0,5129000.0,1094000.0,,16000.0,116000.0,,0.0,1373000.0,466000.0,357000.0,-18425000.0,16746000.0,50847000.0,18784000.0,38584000.0,27032000.0,18784000.0,18784000.0,32063000.0,50847000.0,7134000.0,5031000.0,0.0
"(2013, 'Q1')",7291000.0,9509000.0,108000.0,966000.0,,37561000.0,,,1941000.0,,358000.0,453000.0,5598000.0,3469000.0,27464000.0,5526000.0,1076000.0,,3000.0,120000.0,,0.0,1483000.0,475000.0,420000.0,-18652000.0,17675000.0,51422000.0,18909000.0,38362000.0,27385000.0,18909000.0,18909000.0,32513000.0,51422000.0,7534000.0,5128000.0,0.0
2012,7077000.0,11631000.0,127000.0,490000.0,,37919000.0,,0.0,1448000.0,0.0,0.0,453000.0,5889000.0,4640000.0,26739000.0,5883000.0,1057000.0,0.0,133000.0,123000.0,,,1392000.0,485000.0,546000.0,-18931000.0,19211000.0,53156000.0,18988000.0,39539000.0,27859000.0,18988000.0,18988000.0,34168000.0,53156000.0,7734000.0,6309000.0,0.0
2011,7432000.0,6042000.0,175000.0,577000.0,,26145000.0,,,41000.0,,,291000.0,1607000.0,8992000.0,22521000.0,3971000.0,974000.0,,2000.0,123000.0,,0.0,1640000.0,523000.0,330000.0,-21479000.0,14055000.0,36981000.0,4666000.0,29472000.0,21651000.0,4666000.0,4666000.0,32315000.0,36981000.0,3538000.0,10664000.0,0.0
