,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,longtermdebt,netppe,noncurrentdeferredrevenue,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
"(2018, 'Q2')",6578000.0,1458000.0,23508000.0,-2000.0,63291000.0,0.0,528954000.0,696000.0,24622000.0,20611000.0,9962000.0,,,4074000.0,8415000.0,1206000.0,9056000.0,10000000.0,5757000.0,-470036000.0,,37244000.0,142697000.0,58916000.0,116806000.0,30782000.0,58916000.0,58916000.0,73781000.0,142697000.0,5280000.0,42999000.0,0.0
"(2018, 'Q1')",6870000.0,1789000.0,14657000.0,-26000.0,94898000.0,0.0,523186000.0,1545000.0,24472000.0,17228000.0,9477000.0,,,2828000.0,12991000.0,1320000.0,8944000.0,10000000.0,6998000.0,-420067000.0,,49100000.0,183105000.0,103093000.0,161729000.0,23072000.0,103093000.0,103093000.0,70012000.0,183105000.0,4148000.0,46940000.0,0.0
2017,6862000.0,1357000.0,15441000.0,,145219000.0,0.0,494800000.0,2100000.0,9457000.0,14810000.0,8289000.0,,,,10460000.0,3855000.0,6367000.0,10000000.0,5891000.0,-372838000.0,12500000.0,19572000.0,197071000.0,121962000.0,178406000.0,36903000.0,121962000.0,121962000.0,65109000.0,197071000.0,3855000.0,28206000.0,0.0
"(2017, 'Q3')",5820000.0,240000.0,9468000.0,-9000.0,134657000.0,0.0,489746000.0,2708000.0,12374000.0,12972000.0,7596000.0,,,,16345000.0,3855000.0,6245000.0,10000000.0,7380000.0,-336455000.0,12500000.0,64744000.0,230093000.0,153282000.0,213266000.0,30496000.0,153282000.0,153282000.0,66811000.0,230093000.0,3855000.0,36315000.0,0.0
"(2017, 'Q2')",7850000.0,1117000.0,8385000.0,-42000.0,143999000.0,0.0,485103000.0,2968000.0,15280000.0,11415000.0,6076000.0,28000.0,,,23685000.0,3575000.0,7810000.0,10000000.0,8991000.0,-306548000.0,10417000.0,86295000.0,263202000.0,178513000.0,248212000.0,29648000.0,178513000.0,178513000.0,74689000.0,263202000.0,3575000.0,45041000.0,0.0
"(2017, 'Q1')",11585000.0,5866000.0,6490000.0,-59000.0,37639000.0,0.0,359175000.0,,18192000.0,8449000.0,5654000.0,45000.0,,33000.0,27911000.0,250000.0,9037000.0,,127000.0,-280479000.0,7292000.0,94405000.0,155806000.0,78637000.0,147074000.0,25412000.0,78637000.0,78637000.0,77169000.0,155806000.0,283000.0,51757000.0,0.0
2016,5739000.0,12151000.0,9698000.0,-7000.0,118964000.0,0.0,353962000.0,,21110000.0,3261000.0,1896000.0,104000.0,,71000.0,14476000.0,250000.0,2189000.0,,127000.0,-247220000.0,4167000.0,26912000.0,163925000.0,106735000.0,160343000.0,19708000.0,106735000.0,106735000.0,57190000.0,163925000.0,321000.0,37482000.0,0.0
"(2016, 'Q3')",7606000.0,14893000.0,10920000.0,-8000.0,41802000.0,0.0,248521000.0,,23975000.0,1006000.0,,269000.0,,53000.0,5835000.0,250000.0,3246000.0,,127000.0,-217500000.0,1042000.0,19287000.0,80664000.0,31013000.0,79355000.0,19837000.0,31017000.0,31017000.0,49647000.0,80664000.0,303000.0,29810000.0,0.0
"(2016, 'Q2')",6095000.0,8652000.0,9365000.0,5000.0,54649000.0,0.0,243964000.0,,24829000.0,995000.0,,207000.0,,70000.0,4337000.0,0.0,2501000.0,,127000.0,-206458000.0,,15350000.0,82344000.0,37511000.0,81279000.0,15667000.0,37511000.0,37511000.0,44833000.0,82344000.0,70000.0,29166000.0,0.0
"(2016, 'Q1')",6645000.0,5066000.0,5363000.0,7000.0,19432000.0,0.0,220027000.0,,14603000.0,1053000.0,,233000.0,,70000.0,,127000.0,3381000.0,,,-188190000.0,500000.0,30059000.0,59188000.0,31844000.0,57938000.0,12741000.0,31844000.0,31844000.0,27344000.0,59188000.0,197000.0,14603000.0,0.0
2015,3537000.0,5039000.0,4927000.0,-48000.0,20287000.0,,219200000.0,,14536000.0,905000.0,104000.0,225000.0,0.0,342000.0,375000.0,127000.0,1719000.0,,0.0,-175993000.0,0.0,38444000.0,66863000.0,43159000.0,65489000.0,8689000.0,43159000.0,43159000.0,23704000.0,66863000.0,469000.0,15015000.0,0.0
"(2015, 'Q3')",5333000.0,3904000.0,3333000.0,0.0,35062000.0,0.0,218333000.0,,14929000.0,836000.0,,169000.0,,297000.0,,127000.0,1768000.0,,,-164727000.0,,35376000.0,77370000.0,53606000.0,76110000.0,8835000.0,53606000.0,53606000.0,23764000.0,77370000.0,424000.0,14929000.0,0.0
"(2015, 'Q2')",3988000.0,4489000.0,3189000.0,-4000.0,39548000.0,0.0,216226000.0,,,902000.0,123000.0,147000.0,,64000.0,,127000.0,854000.0,,,-155965000.0,,21720000.0,67704000.0,60257000.0,66611000.0,7324000.0,60257000.0,60257000.0,7447000.0,67704000.0,191000.0,123000.0,0.0
"(2015, 'Q1')",3947000.0,4472000.0,3254000.0,-4000.0,22933000.0,0.0,215135000.0,,,648000.0,160000.0,132000.0,,47000.0,,127000.0,605000.0,,,-155079000.0,,38713000.0,67545000.0,60052000.0,66723000.0,7333000.0,60052000.0,60052000.0,7493000.0,67545000.0,174000.0,160000.0,0.0
2014,2122000.0,5234000.0,3266000.0,-32000.0,18881000.0,0.0,213545000.0,,193000.0,725000.0,,128000.0,,37000.0,,127000.0,520000.0,,,-148900000.0,,44798000.0,70322000.0,64613000.0,69433000.0,5516000.0,64613000.0,64613000.0,5709000.0,70322000.0,164000.0,193000.0,0.0
"(2014, 'Q3')",6221000.0,3818000.0,2677000.0,-15000.0,46932000.0,0.0,212225000.0,,,662000.0,226000.0,113000.0,,37000.0,,127000.0,727000.0,,,-144046000.0,,25098000.0,77401000.0,68164000.0,76575000.0,9011000.0,68164000.0,68164000.0,9237000.0,77401000.0,164000.0,226000.0,0.0
"(2014, 'Q2')",2633000.0,5276000.0,2538000.0,,74496000.0,0.0,211583000.0,,,615000.0,148000.0,,,40000.0,,127000.0,614000.0,,,-135734000.0,,,81168000.0,75849000.0,80386000.0,5171000.0,75849000.0,75849000.0,5319000.0,81168000.0,167000.0,148000.0,0.0
"(2014, 'Q1')",4544000.0,6027000.0,2832000.0,,84937000.0,0.0,211024000.0,,,662000.0,133000.0,64000.0,,44000.0,,127000.0,161000.0,,,-132179000.0,5540000.0,,91958000.0,78845000.0,91125000.0,12980000.0,78845000.0,78845000.0,13113000.0,91958000.0,171000.0,133000.0,0.0
2013,2923000.0,7230000.0,3004000.0,0.0,10738000.0,0.0,4148000.0,,1698000.0,743000.0,125000.0,73000.0,,47000.0,244000.0,127000.0,1873000.0,132278000.0,,-128724000.0,4989000.0,0.0,20758000.0,-124576000.0,19841000.0,10989000.0,-124576000.0,-124576000.0,13056000.0,20758000.0,174000.0,2067000.0,0.0
